28.11.2016 17:39:34  -- CalculationBBAsync = 00:02:03.549
28.11.2016 17:41:07  -- TestAsync = 00:00:43.141
28.11.2016 17:44:37  -- TestAsync = 00:00:42.552
30.11.2016 14:09:19  -- TestAsync = 00:00:45.796
30.11.2016 14:14:04  -- TestAsync = 00:00:45.215
30.11.2016 16:48:52  -- TestAsync = 00:00:46.249
30.11.2016 17:08:35  -- CalculationBBAsync = 00:12:53.075
30.11.2016 17:15:27  -- TestAsync = 00:03:07.264
01.12.2016 11:37:48  -- TestAsync = 00:03:00.734
02.12.2016 15:42:22  -- TestAsync = 00:02:52.867
05.12.2016 13:07:56  -- CalculationBBAsync = 00:19:34.638
05.12.2016 13:16:24  -- TestAsync = 00:02:58.490
05.12.2016 13:42:54  -- CalculationBBAsync = 00:19:39.544
05.12.2016 14:15:08  -- TestAsync = 00:03:02.954
05.12.2016 14:29:08  -- TestAsync = 00:03:05.857
06.12.2016 12:57:26  -- CalculationBBAsync = 00:21:13.735
06.12.2016 13:16:11  -- TestAsync = 00:02:52.979
06.12.2016 13:35:30  -- TestAsync = 00:08:22.947
06.12.2016 13:42:33  -- TestAsync = 00:02:59.641
06.12.2016 14:06:37  -- TestAsync = 00:02:59.315
06.12.2016 18:53:58  -- TestAsync = 00:42:50.434
21.03.2017 16:42:27  16:42:27  0
21.03.2017 16:42:27  16:42:27  1
21.03.2017 16:42:27  16:42:27  2
21.03.2017 16:42:27  16:42:27  3
21.03.2017 16:42:27  16:42:27  4
21.03.2017 16:42:27  16:42:27  5
21.03.2017 16:42:27  16:42:27  6
21.03.2017 16:42:27  16:42:27  7
21.03.2017 16:42:27  16:42:27  8
21.03.2017 16:42:27  16:42:27  9
21.03.2017 16:42:28  16:42:28  10
21.03.2017 16:42:28  16:42:28  11
21.03.2017 16:42:28  16:42:28  12
21.03.2017 16:42:28  16:42:28  13
21.03.2017 16:42:28  16:42:28  14
21.03.2017 16:42:28  16:42:28  15
21.03.2017 16:42:28  16:42:28  16
21.03.2017 16:42:28  16:42:28  17
21.03.2017 16:42:28  16:42:28  18
21.03.2017 16:42:28  16:42:28  19
21.03.2017 16:42:28  16:42:28  20
21.03.2017 16:42:28  16:42:28  21
21.03.2017 16:42:28  16:42:28  22
21.03.2017 16:42:28  16:42:28  23
21.03.2017 16:42:28  16:42:28  24
21.03.2017 16:42:28  16:42:28  25
21.03.2017 16:42:28  16:42:28  26
21.03.2017 16:42:28  16:42:28  27
21.03.2017 16:42:28  16:42:28  28
21.03.2017 16:42:28  16:42:28  29
21.03.2017 16:42:29  16:42:29  30
21.03.2017 16:42:29  16:42:29  0
21.03.2017 16:42:29  16:42:29  2
21.03.2017 16:42:29  16:42:29  3
21.03.2017 16:42:29  16:42:29  1
21.03.2017 16:42:30  16:42:30  5
21.03.2017 16:42:30  16:42:30  7
21.03.2017 16:42:30  16:42:30  6
21.03.2017 16:42:30  16:42:30  4
21.03.2017 16:42:31  16:42:31  8
21.03.2017 16:42:31  16:42:31  9
21.03.2017 16:42:31  16:42:31  10
21.03.2017 16:42:31  16:42:31  11
21.03.2017 16:42:33  16:42:33  12
21.03.2017 16:42:33  16:42:33  14
21.03.2017 16:42:33  16:42:33  15
21.03.2017 16:42:33  16:42:33  13
21.03.2017 16:42:34  16:42:34  16
21.03.2017 16:42:34  16:42:34  17
21.03.2017 16:42:34  16:42:34  19
21.03.2017 16:42:34  16:42:34  18
21.03.2017 16:42:35  16:42:35  20
21.03.2017 16:42:35  16:42:35  21
